,full_text,created_at
141,"Gear second+Haoshoku Haki
@mohmahfudmd  VS @DPR_RI 
#mahfudmd 
#DPR 
#ONEPIECE https://t.co/QCwGlX6yGw",2023-04-02 02:41:26+00:00
142,@borntobeyourbby Mahfud md vs dpr,2023-04-02 05:20:05+00:00
143,,2010-01-02 04:25:41+00:00
144,,2021-08-04 15:35:47+00:00
145,,2010-11-10 06:28:51+00:00
146,,2012-07-23 01:07:06+00:00
147,,2023-03-31 13:47:04+00:00
148,,2015-06-01 14:40:19+00:00
149,,2010-07-27 14:03:29+00:00
150,,2010-07-22 04:02:52+00:00
151,,2014-05-28 22:51:53+00:00
152,,2009-08-27 03:03:05+00:00
153,,2021-08-16 11:10:14+00:00
154,,2022-12-16 03:33:49+00:00
155,,2019-10-29 09:01:14+00:00
156,,2014-04-06 06:45:14+00:00
157,,2014-01-30 06:24:17+00:00
158,,2019-06-21 03:00:29+00:00
159,,2014-11-06 16:32:40+00:00
160,,2015-07-27 20:10:08+00:00
161,,2018-01-05 06:23:33+00:00
162,,2019-09-25 14:34:28+00:00
163,"kalo tidak dilarang, berarti diperbolehkan....tidak harus merujuk kepada peraturan...jadi rame...lah ini uang 300 T menguap, muncul kegaduhan baru...DPR vs Mahfud MD...aseeeekkkkkkk....",2023-03-30 03:22:41+00:00
164,"mau ikutan dengerin ta 
https://t.co/ToXxwLrHbR https://t.co/PnSf0qsP1h",2023-03-28 00:51:14+00:00
165,"Sinyal Perang Terbuka Mahfud MD Vs Komisi III DPR, Rocky Gerung: Ini yang Disebut Momen of Truth https://t.co/6fUWQtbyaB",2023-03-28 15:50:03+00:00
166,"@S_GraciaJKT48 mahfud md vs arteri dahlan ci, kasian dpr wkkw",2023-03-29 16:08:09+00:00
167,"Pagi ini diawali dengan baca berita tentang BOLA dan ngeliat video rapat Mahfud MD vs DPR komisi III 😎

That’s perfect morning 👌🏻",2023-03-29 23:33:38+00:00
168,@andrechrxi @icals https://t.co/EopbEPPirs mahfud vs everybody,2023-03-30 20:18:25+00:00
169,"Hari Ini, Perang Terbuka Mahfud MD Vs DPR Soal Transaksi Janggal Rp349 T, Warganet: Hajar Semua Pak Mahfud! https://t.co/aXLG5RXIiB",2023-03-29 06:14:31+00:00
170,Infografis Rapat Panas Menko Mahfud Md Vs Komisi III DPR https://t.co/J1EG1elWdk,2023-03-31 02:23:04+00:00
