,full_text,created_at,full_tweet,tweet_tokens
128,"Kapan ne live pak Mahfud MD Vs Komisi 3 DPR RI soal aliran dana 300 T. 
DPR yg sesumbar minta panggil pak Mahfud skrg jgn ada alasan DPR tdk hadir, krn p Mahfud sdh siap hadapi mereka
Sy dukung p Mahfud👍",2023-03-27 10:17:08+00:00,kapan ne live pak mahfud md vs komisi dpr ri soal aliran dana  dpr yg sesumbar minta panggil pak mahfud skrg jgn ada alasan dpr tdk hadir krn  mahfud sdh siap hadapi mereka sy dukung  mahfud,"['ne', 'live', 'mahfud', 'mahfud', 'versus', 'komisi', 'drp', 'ri', 'alir', 'dana', 'drp', 'sesumbar', 'panggil', 'mahfud', 'skrg', 'alas', 'drp', 'hadir', 'mahfud', 'hadap', 'sy', 'dukung', 'mahfud']"
129,"Mobil masuk ke landasan, Isu terkait kemenkeu dan bawahannya dari pajak sampai bea cukai, THR yg ga full 100%

isu melengserkan SMI ini menarik hahaha.

sementara itu banyak yg kemakan buzzer jadi isu Mahfud MD vs DPR",2023-03-29 10:35:33+00:00,mobil masuk ke landasan isu terkait kemenkeu dan bawahannya dari pajak sampai bea cukai thr yg ga full isu melengserkan smi ini menarik hahaha sementara itu banyak yg kemakan buzzer jadi isu mahfud md vs dpr,"['mobil', 'masuk', 'landas', 'isu', 'kait', 'kemenkeu', 'bawah', 'pajak', 'bea', 'cukai', 'thr', 'full', 'isu', 'lengser', 'smi', 'tarik', 'hahaha', 'makan', 'buzzer', 'isu', 'mahfud', 'mahfud', 'versus', 'drp']"
130,"@__AnakKolong Bikin poling resmi aj suruh milih DPR vs Mahfud MD ..pasti pak Mahfud menang telak, ya kan😀",2023-04-02 22:41:43+00:00,anakkolong bikin poling resmi aj suruh milih dpr vs mahfud md pasti pak mahfud menang telak ya kan,"['anakkolong', 'poling', 'resmi', 'saja', 'suruh', 'milih', 'drp', 'versus', 'mahfud', 'mahfud', 'mahfud', 'menang', 'telak']"
131,"@mohmahfudmd saksikan semifinal Pak @mohmahfudmd vs Komisi III DPR RI....
prediksi skor 3 - 0 untuk Pak Mahfud MD....",2023-03-26 01:59:39+00:00,saksikan semifinal pak vs komisi iii dpr ri prediksi skor untuk pak mahfud md,"['saksi', 'semifinal', 'versus', 'komisi', 'iii', 'drp', 'ri', 'prediksi', 'skor', 'mahfud', 'mahfud']"
132,"@pandji Bagi saya semua drama ini bertujuan untuk mengalihkan isu omnibuslaw dan tppu 349 triliun. Nampaknya akan berhasil, rupanya tuhan punya cara lain. Tempo hari rapat dengar pendapat di dpr. Mahfud md Vs. Everybody. kasus ini pun diperhatikan lagi",2023-03-31 07:23:15+00:00,bagi saya semua drama ini bertujuan untuk mengalihkan isu omnibuslaw dan tppu triliun nampaknya akan berhasil rupanya tuhan punya cara lain tempo hari rapat dengar pendapat di dpr mahfud md vs everybody kasus ini pun diperhatikan lagi,"['drama', 'tuju', 'alih', 'isu', 'omnibuslaw', 'tppu', 'triliun', 'nampaknya', 'hasil', 'tuhan', 'tempo', 'rapat', 'dengar', 'dapat', 'drp', 'mahfud', 'mahfud', 'versus', 'everybody', 'perhati']"
133,"Bak pertandingan olahraga, rapat Komisi III DPR yang menghadirkan Mahfud Md semalam berlangsung panas, seru, sayang dilewatkan. Berikut rangkuman laporannya. https://t.co/QxEUO6xJfm",2023-03-29 23:51:41+00:00,bak pertandingan olahraga rapat komisi iii dpr yang menghadirkan mahfud md semalam berlangsung panas seru sayang dilewatkan berikut rangkuman laporannya,"['bak', 'tanding', 'olahraga', 'rapat', 'komisi', 'iii', 'drp', 'hadir', 'mahfud', 'mahfud', 'malam', 'panas', 'seru', 'sayang', 'lewat', 'rangkum', 'lapor']"
134,"Di atas Mahfud MD vs DPR, di bawah gontok-gontokan pendukung pildun va pendukung palestina. Istimewa harin ini.",2023-03-29 16:48:40+00:00,di atas mahfud md vs dpr di bawah gontokgontokan pendukung pildun va pendukung palestina istimewa harin ini,"['mahfud', 'mahfud', 'versus', 'drp', 'gontokgontokan', 'dukung', 'pildun', 'va', 'dukung', 'palestina', 'istimewa', 'harin']"
135,"Mahfud MD vs Komisi III DPR Soal Transaksi Siluman Rp 349 T Kemenkeu, Siapa Keok? https://t.co/MkgZAj0ZeQ",2023-03-26 15:01:26+00:00,mahfud md vs komisi iii dpr soal transaksi siluman rp  kemenkeu siapakeok,"['mahfud', 'mahfud', 'versus', 'komisi', 'iii', 'drp', 'transaksi', 'siluman', 'rupiah', 'kemenkeu', 'siapakeok']"
136,"@collegemenfess Sama der nontonin Mahfud MD vs  komisi dpr ternyata seru bett mana Ampe jam 11 malem baru kelar, aslii seru",2023-03-30 11:43:56+00:00,sama der nontonin mahfud md vs komisi dpr ternyata seru bett mana ampe jam malem baru kelar aslii seru,"['der', 'nontonin', 'mahfud', 'mahfud', 'versus', 'komisi', 'drp', 'seru', 'bett', 'ampe', 'jam', 'malem', 'kelar', 'asli', 'seru']"
137,"Melihat mahfud md vs DPR di agenda RDP, yg paling penting itu goal nya apa? Bakal terungkap ga tuh TPPU yg ratusan trilyun itu?.. kalau tidak, ini hanya stratgi politik saja.",2023-03-30 12:05:12+00:00,melihat mahfud md vs dpr di agenda rdp yg paling penting itu goal nya apa bakal terungkap ga tuh tppu yg ratusan trilyun itu kalau tidak ini hanya stratgi politik saja,"['mahfud', 'mahfud', 'versus', 'drp', 'agenda', 'rdp', 'goal', 'ungkap', 'tppu', 'ratus', 'trilyun', 'stratgi', 'politik']"
138,"Dari RDP Kom. III vs. Mahfud MD ini, gw jadi dapet gambaran kesehari2an politik kita kalo jadi negara parlementer, langganan aku ke DPR kalo gini, top.",2023-03-29 15:02:21+00:00,dari rdp kom iii vs mahfud md ini gw jadi dapet gambaran keseharian politik kita kalo jadi negara parlementer langganan aku ke dpr kalo gini top,"['rdp', 'kom', 'iii', 'versus', 'mahfud', 'mahfud', 'gw', 'dapet', 'gambar', 'hari', 'politik', 'negara', 'parlementer', 'langgan', 'drp', 'gin', 'top']"
139,"Netizen = Rakyat
DPR = Yang mewakili rakyat

Pak Mahfud MD vs DPR 
Kenapa Netizen pada Bela Pak Mahfud MD

Maaf Serius Nanya Pak Menko #MahfudMD ?? Soalnya saya buka puasa kebanyakan minum air es😁",2023-03-31 13:59:09+00:00,netizen rakyat dpr yang mewakili rakyat pak mahfud md vs dpr kenapa netizen pada bela pak mahfud md maaf serius nanya pak menko soalnya saya buka puasa kebanyakan minum air es,"['netizen', 'rakyat', 'drp', 'wakil', 'rakyat', 'mahfud', 'mahfud', 'versus', 'drp', 'netizen', 'bela', 'mahfud', 'mahfud', 'maaf', 'serius', 'nanya', 'menko', 'buka', 'puasa', 'banyak', 'minum', 'air', 'es']"
140,Simak deh debat pak Mahfud MD vs DPR komisi III. Lihat kualitas para DPR pas diskak pak Mahfud 😂 lebih seru dari debat capres-cawapres,2023-03-30 04:59:15+00:00,simak deh debat pak mahfud md vs dpr komisi iii lihat kualitas para dpr pas diskak pak mahfud lebih seru dari debat caprescawapres,"['simak', 'deh', 'debat', 'mahfud', 'mahfud', 'versus', 'drp', 'komisi', 'iii', 'lihat', 'kualitas', 'drp', 'pas', 'diskak', 'mahfud', 'seru', 'debat', 'caprescawapres']"
141,"Gear second+Haoshoku Haki
@mohmahfudmd  VS @DPR_RI 
#mahfudmd 
#DPR 
#ONEPIECE https://t.co/QCwGlX6yGw",2023-04-02 02:41:26+00:00,gear secondhaoshoku haki vs ri,"['gear', 'secondhaoshoku', 'hak', 'versus', 'ri']"
